video_id,title,publish_date
26ls5lNiijk,Relational Database Design – Full Course,2026-01-27T14:32:56Z
boH7_Ate4LM,"Remember your first hackathon? While it was probably scary, you probably learned a ton.",2026-01-27T13:05:26Z
D5F8kp_azzw,Let's Build Pipeline Parallelism from Scratch – Tutorial,2026-01-26T17:35:28Z
0aKV-JGtDMA,It's easy to get sucked into working too much - but the costs become pretty clear pretty quickly.,2026-01-26T13:17:20Z
ll1mpTJ4qBU,Why debugging vibe-coded projects is hard - and what to do instead,2026-01-25T13:43:36Z
Y6JJgOqroAI,"Sure, grades matter in school - but on the job market, hands-on experience is more meaningful",2026-01-24T13:32:27Z
4T3YlTSWa5s,How to stay curious as a dev in the AI hype era with Sumit Saha [Podcast #205],2026-01-23T14:30:03Z
3GqiUg3Ree4,From not growing up with computers to senior engineer - thanks to Prince of Persia,2026-01-23T13:18:28Z
I7_WXKhyGms,RAG & MCP Fundamentals – A Hands-On Crash Course,2026-01-22T14:27:46Z
ojkbIKjRLIM,The challenges of turning a powerful braille learning prototype into real hardware,2026-01-22T12:52:23Z
66hDgWottdA,Learn Dynamic Programming with Animations – Full Course for Beginners,2026-01-21T15:31:14Z
2Kw3e-1vbBQ,Build your own The Backrooms horror game with Unreal Engine 5 & Blueprints – Full GameDev Tutorial,2026-01-20T17:39:36Z
tVf_5pvz5ck,Be transparent about your career goals - it makes it easier for people to help you advance,2026-01-20T13:05:35Z
ekXUXu7Eejs,"These days, you need more than just coding skills to get a good internship or job",2026-01-19T13:17:32Z
l2Z9f42HGpY,Why you don't necessarily need to go to a big-name school to get into tech,2026-01-18T13:43:26Z
Bufi2i2fLT0,You never know where career inspiration will come from,2026-01-17T13:32:23Z
58Tn2xB8kIE,The Most Important Skills Going Forward with CTO + Homebrew Maintainer Mike McQuaid [Podcast #204],2026-01-16T14:30:05Z
UtV8MfnuIEg,"The ""this"" keyword can be confusing in JavaScript. Do you understand how this works?",2026-01-16T13:18:25Z
odP153inZUo,Build Your Own Kubernetes Operators with Go and Kubebuilder – Full Course,2026-01-15T17:41:46Z
9tyZL5KIiGU,Why you should prioritize networking if you're in tech,2026-01-15T12:52:35Z
3PD-vQbpwA8,Inside The World's Biggest Hackathon – Full Documentary on UC Berkeley's Cal Hacks,2026-01-14T17:28:53Z
9KnVcWXUL8w,How to remove a list item by its value in Python,2026-01-14T13:29:37Z
wck2LmaMaB4,Why cybersecurity basics are important for everyone to know - not just devs.,2026-01-13T13:05:25Z
7G9q_5q82hY,How to Benchmark Embedding Models On Your Own Data,2026-01-12T16:38:04Z
davl7UFG-Ls,Can you guess the output here?,2026-01-12T13:17:21Z
RI8ELvtbUmU,"When you're learning or doing something new, get comfortable being uncomfortable",2026-01-11T13:43:40Z
TFhGTw4RXI4,How to insert list items at a specific index in Python,2026-01-10T13:43:34Z
DzVm161M4Kk,First developer job at age 38 with lawyer turned software engineer Zubin Pratap [Podcast #203],2026-01-09T14:30:11Z
