video_id,title,published_date,year,month,title_length
Ufy1FyqvfKM,Audit the advice you're getting - it's not all gonna be good,2025-10-17 23:32:25+00:00,2025,10,60
hM2T45qbIPI,From injured athlete to software engineer with Kaleb Garner [Podcast #193],2025-10-17 14:00:06+00:00,2025,10,74
_dCn4WrWnBw,How to use Python's .isprintable() method,2025-10-16 23:18:24+00:00,2025,10,41
c6IyCwAV6BY,What is the JavaScript DOM?,2025-10-16 17:58:03+00:00,2025,10,27
Y9m_Chx1joE,"Why you should surround yourself with the smartest, most driven people",2025-10-15 22:52:59+00:00,2025,10,70
DosHnyq78xY,Intro to MCP Servers – Model Context Protocol with Python Course,2025-10-15 12:55:53+00:00,2025,10,64
EzyJpHz2awM,How to make heart shapes in HTML,2025-10-14 23:29:14+00:00,2025,10,32
30diF8dKpAY,Google Generative AI Leader Certification Course – Pass the Exam!,2025-10-13 13:49:05+00:00,2025,10,65
xH9ZKsTY73Y,Evan You – From Art School Kid to Open Source Legend [Podcast #192],2025-10-10 14:00:06+00:00,2025,10,67
WXk7yDqsKxs,Harvard CS50’s Intro to Databases with SQL – Full University Course,2025-10-09 13:48:27+00:00,2025,10,67
W4M-g9wsEC4,React 19 Project Tutorial – AI Code Explainer,2025-10-08 13:30:49+00:00,2025,10,45
tfpGS_doPvY,Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,2025-10-07 16:17:24+00:00,2025,10,92
jaDi29eRYps,From manufacturing worker to first developer job at age 43 with Thomas Gooch [Podcast #191],2025-10-03 14:00:06+00:00,2025,10,91
LzMnsfqjzkA,Become a Fullstack Developer from Scratch – Full Beginner’s Tutorial,2025-10-01 15:57:12+00:00,2025,10,68
jBf7of9JTV8,"Build a Full Stack Movie Streaming App in Go – Golang, React, MongoDB, OpenAI API Project Course",2025-09-30 12:28:36+00:00,2025,9,96
5JTBS09e7ew,AWS CloudOps Engineer Associate (SOA-C03) Certification Course – Pass the Exam!,2025-09-29 15:33:57+00:00,2025,9,79
yguDjZcUpH8,Lone Wolf Dev turned Open Source Super Contributor Tom Mondloch [Podcast #190],2025-09-26 14:00:06+00:00,2025,9,78
mvleESOUTRw,Production-Grade AI Project Tutorial – Build & Deploy,2025-09-25 13:58:50+00:00,2025,9,53
p3sij8QzONQ,LLMs from Scratch – Practical Engineering from Base Model to PPO RLHF,2025-09-23 12:32:33+00:00,2025,9,69
B0TJC4lmzEM,"How to Build Advanced AI Agents – Course for Beginners (LiveKit, Exa, LangChain)",2025-09-22 14:35:42+00:00,2025,9,80
MiGXhDvuvEg,Learn Chess and Become a Better Developer with Ihechikara Abba (ELO rating of 2285) [Podcast #189],2025-09-19 14:00:05+00:00,2025,9,98
QSFWSjBHIkw,ASP.NET Web API – Token Based Authentication Tutorial,2025-09-18 14:47:49+00:00,2025,9,53
0Hd5vYqin7w,Databricks Data Engineer Associate Certification Course – Pass the Exam!,2025-09-17 13:52:14+00:00,2025,9,72
Vs4hQsDpxww,"Code Your Own Code Editor – JavaScript, HTML, CSS Tutorial",2025-09-15 14:42:47+00:00,2025,9,58
6_qwLx8jwBY,Playing the Developer Job Search Game to Win in 2025 with Danny Thompson & Leon Noel [Podcast #188],2025-09-12 14:00:17+00:00,2025,9,99
UuknxVdqzb4,Secure PHP Apps with Symfony & MongoDB – Full Course for Beginners,2025-09-11 13:01:06+00:00,2025,9,66
MiPkcTaRbfQ,Godot Game Development for Beginners,2025-09-10 13:00:48+00:00,2025,9,36
9vkkJ4tC4SQ,iOS App Store Submission Tutorial,2025-09-08 14:50:28+00:00,2025,9,33
Zv2a6ixXEQc,How to focus on building your skills when everything's so distracting with Ania Kubów [Podcast #187],2025-09-05 14:00:06+00:00,2025,9,100
H-oCV5brtU4,Intro to Fine-Tuning Large Language Models,2025-09-04 14:09:42+00:00,2025,9,42
YtHdaXuOAks,Guide to Agentic AI – Build a Python Coding Agent with Gemini,2025-09-03 13:37:24+00:00,2025,9,61
tpIyum0ERIo,Mandarin Chinese Language Beginners Course – Learn HSK1 Level Mandarin,2025-09-02 13:51:56+00:00,2025,9,70
ebarbEsoHzg,"How to use AI as an accelerator, not a crutch, with freelance engineer Ankur Tyagi  [Podcast #186]",2025-08-29 14:00:06+00:00,2025,8,98
tPkJLnDqAKk,JavaScript Tutorial with Three.js – 5 Projects for Beginners,2025-08-27 12:50:36+00:00,2025,8,60
u43gJJrVa1I,Professional Cloud Architect Certification Course – Pass the Exam!,2025-08-26 13:42:34+00:00,2025,8,66
Q5U-b6gRTaY,Computer Vision with Arduino Tutorial – 2 Projects,2025-08-25 13:59:45+00:00,2025,8,50
L6kMdLH1S8w,From Hospital Janitor to Developer with Emmett Naughton [Podcast #185],2025-08-22 13:15:07+00:00,2025,8,70
1AX7_aPWmbE,Checkmate Patterns for Beginners – Full Chess Tutorial,2025-08-21 13:30:00+00:00,2025,8,54
9tANiA0LKn4,Building an AI-Powered E-commerce Chat Assistant with MongoDB – Tutorial,2025-08-20 13:19:46+00:00,2025,8,72
Jaj_SQsF-BI,LLM from Scratch Tutorial – Code & Train Qwen 3,2025-08-19 13:58:10+00:00,2025,8,47
16emGG-guIo,From drop-out to backpacker to self-taught developer with Dominick Monaco [Podcast #183],2025-08-15 13:00:06+00:00,2025,8,88
qYk_BqGHXEg,Next.js Caching & Rendering Tutorial – Full Course for Beginners,2025-08-13 15:53:12+00:00,2025,8,64
JfiWi8RjN-8,DevSecOps Course for Beginners – API Security,2025-08-12 13:48:57+00:00,2025,8,45
N0K0m7dZBJI,Abandoning med school to become a software engineer with Edidiong Asikpo [Podcast #182],2025-08-08 13:00:45+00:00,2025,8,87
fxx_E0ojKrc,Time Series Forecasting in Python – Tutorial for Beginners,2025-08-07 14:14:44+00:00,2025,8,58
OlAmyf8_4O4,Google Cloud Associate Cloud Engineer Course [2025] - Pass the Exam!,2025-08-05 14:16:26+00:00,2025,8,68
IJ85kCdqWao,React Course for Beginners w/ Tailwind CSS [2025],2025-08-04 13:56:59+00:00,2025,8,49
C7UI_4jIGSQ,Senior Playstation Engineer's tips for learning new tools and getting things done [Podcast #184],2025-08-01 13:30:09+00:00,2025,8,96
ku6HZ_k9qgY,Why Algorithms Work – Algorithm Analysis Deep Dive Course,2025-07-30 14:33:21+00:00,2025,7,57
