Model,Metric,Top-1 Recall,Top-3 Recall,Top-5 Recall,Avg Rank
all-MiniLM-L6-v2,cosine,0.688,0.9,0.95,1.8
all-MiniLM-L6-v2,euclidean,0.688,0.9,0.95,1.8
all-MiniLM-L6-v2,manhattan,0.675,0.888,0.938,1.89
all-mpnet-base-v2,cosine,0.525,0.788,0.85,3.89
all-mpnet-base-v2,euclidean,0.525,0.788,0.85,3.89
all-mpnet-base-v2,manhattan,0.538,0.775,0.85,4.12
multi-qa-MiniLM-L6-cos-v1,cosine,0.612,0.85,0.9,2.78
multi-qa-MiniLM-L6-cos-v1,euclidean,0.612,0.85,0.9,2.78
multi-qa-MiniLM-L6-cos-v1,manhattan,0.588,0.838,0.9,2.78
