video_id,title,publish_date,year,month,title_length
oJDLlWL79I8,Learn English with MOVIES — Matilda,2025-07-26 13:01:28+00:00,2025,7,35
fpbdQBcuJ_E,Learn English with Movies — THE MUMMY,2025-07-19 14:55:53+00:00,2025,7,37
GrY9GrS_x2s,Learn English with PEPPA PIG,2025-07-12 15:14:43+00:00,2025,7,28
vGyi6N-Ldzg,Learn English with ANNE HATHAWAY — Funny Stories,2025-07-09 14:27:33+00:00,2025,7,48
fHnvnRxuISU,Learn English with Movies — LEGALLY BLONDE,2025-07-05 13:01:29+00:00,2025,7,42
BssKRIhckrc,Learn English with LILO &amp; STITCH — Stitch Protects Lilo,2025-07-02 12:17:38+00:00,2025,7,59
T2-rJnv_QQk,Learn English with JIM CARREY — The Truman Show,2025-06-28 14:46:57+00:00,2025,6,47
YZZpyxcspyE,Learn English with LISA — Blackpink,2025-06-25 15:01:25+00:00,2025,6,35
tgM230i8Y0o,Learn English with The Chronicles of Narnia — Father Christmas,2025-06-21 14:01:33+00:00,2025,6,62
6SIqFgxLkSc,Learn English with Disney&#39;s LUCA,2025-06-11 13:35:29+00:00,2025,6,36
NDhPifXoBYI,Learn English with SPONGEBOB — Best Scenes,2025-06-04 16:04:53+00:00,2025,6,42
5fBrINGT0Dg,Learn English with JENNIFER ANISTON — Funny Talk Show Interview,2025-05-31 13:00:10+00:00,2025,5,63
IJoJKkqJgac,Learn English with MODERN FAMILY — Haley Gets Arrested,2025-05-28 14:24:36+00:00,2025,5,54
F9hBErKjL_Y,Learn English with SEINFELD — Funniest 1990s TV Series,2025-05-24 12:00:32+00:00,2025,5,54
6Oy5_C2Pfiw,Learn English with A BUG&#39;S LIFE — Disney Pixar,2025-05-21 15:45:27+00:00,2025,5,50
BbTccpC8-pE,Learn English with THE HANDMAID&#39;S TALE,2025-05-17 14:00:17+00:00,2025,5,42
HKomCO56swg,Learn English with ROSÉ — APT.,2025-05-14 16:09:01+00:00,2025,5,30
v2AQ2k8PSI0,Learn ENGLISH with How I Met Your Mother — The Best Burger Ever,2025-05-10 12:01:38+00:00,2025,5,63
egNFk82G4RE,Learn ENGLISH with The Road to El Dorado,2025-05-07 15:10:01+00:00,2025,5,40
-kXpw-AcEoM,Learn English with SEVERANCE — Award-Winning TV Series,2025-05-03 11:00:01+00:00,2025,5,54
JpUZsBUitzA,Learn English with Movies | ANNE HATHAWAY — The Idea Of You,2025-04-30 11:00:33+00:00,2025,4,59
8Ll6PtWW3Bs,Learn ENGLISH with TROY — Epic Movie with Brad Pitt &amp; Orlando Bloom,2025-04-26 11:00:11+00:00,2025,4,71
oQxJWkw0OcU,Learn ENGLISH with MOANA — Maui Tries to Steal Moana&#39;s Canoe,2025-04-19 11:01:27+00:00,2025,4,64
xaHudCPy6cg,Learn ENGLISH with the NEWS — Dog Welcomes Thief Like a Friend,2025-04-09 15:11:18+00:00,2025,4,62
5AMGLvROqsg,Learn English with Disney&#39;s COCO — Crossing the Flower Bridge,2025-04-05 13:00:07+00:00,2025,4,65
